
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=3
Sandbox set applied: doom-species (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        jeweled-tree              blind        policy-pick             0%  0/0/60/0       4.0       20%     54%    46%  100% 0.99   50%
  mid        jeweled-tree              dot-weaver   policy-pick            40%  24/0/36/0      4.0       36%     54%    45%  100% 0.98   48%
  mid        jeweled-tree              control-lock policy-pick             0%  0/0/60/0       4.0        9%     58%    42%  100% 0.98   92%
  mid        jeweled-tree              aggro-brute  policy-pick             2%  1/0/59/0       4.0       22%     53%    47%  100% 1.00   40%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.1        3%     37%    43%  100% 1.00   69%
  mid        jeweled-tree              chaos        policy-pick             0%  0/0/60/0       4.2       11%     55%    45%  100% 0.99   49%
  mid        jeweled-tree              mercy-seeker policy-pick             3%  0/2/58/0      10.5       10%     42%    46%  100% 1.00   35%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.0       19%     53%    47%  100% 0.99   50%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.0       19%     53%    47%  100% 0.99   52%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.0       36%     53%    46%  100% 0.98   38%
  mid        rawhead-rex               control-lock policy-pick             0%  0/0/60/0       3.0        9%     59%    41%  100% 0.98   88%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.0       19%     54%    46%  100% 1.00   44%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.0        3%     31%    31%  100% 1.00   96%
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.1       10%     55%    45%  100% 1.00   41%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       5.0       10%     39%    44%  100% 1.00   45%
  late       fire-giant                greedy       policy-pick             0%  0/0/60/0       4.0       14%     32%    48%  100% 0.99   37%
  late       fire-giant                blind        policy-pick             0%  0/0/60/0       4.0       14%     32%    47%  100% 0.99   36%
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.0       31%     53%    46%  100% 1.00   37%
  late       fire-giant                control-lock policy-pick             0%  0/0/60/0       4.0        9%     54%    46%  100% 1.00  100%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       4.3       10%     20%    46%  100% 1.00   39%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        1%     41%    31%  100% 1.00   51%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       4.0        7%     27%    47%  100% 0.99   29%
  late       fire-giant                mercy-seeker policy-pick             0%  0/0/60/0       4.9        1%     22%    16%  100% 1.00   50%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       3.0       12%     36%    41%  100% 1.00   42%
  late       rangda                    blind        policy-pick             0%  0/0/60/0       3.0       12%     39%    43%  100% 1.00   46%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.0       32%     53%    46%  100% 1.00   42%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       3.0        9%     52%    48%  100% 1.00  100%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       3.2        9%     16%    39%  100% 1.00   44%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        1%     56%    43%  100% 1.00   78%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       3.0        7%     23%    59%  100% 1.00   40%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.7        1%     24%    18%  100% 1.00   50%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       3.0       12%     41%    41%  100% 1.00   46%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       3.0       12%     42%    39%  100% 1.00   47%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.0       32%     54%    45%  100% 1.00   39%
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       3.0        9%     52%    48%  100% 1.00  100%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       3.1        9%     16%    40%  100% 1.00   42%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        1%     50%    42%  100% 1.00   77%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       3.0        7%     31%    52%  100% 1.00   32%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.8        1%     22%    18%  100% 1.00   56%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       3.0       12%     38%    43%  100% 1.00   41%
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       3.0       12%     39%    44%  100% 1.00   41%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.0       31%     53%    46%  100% 1.00   37%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       3.0        9%     52%    48%  100% 1.00  100%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       3.1        9%     17%    47%  100% 1.00   35%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        1%     55%    43%  100% 1.00   81%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       3.0        7%     25%    63%  100% 1.00   41%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.8        1%     25%    20%  100% 1.00   45%
  late       death                     greedy       policy-pick             0%  0/0/60/0       3.0       12%     41%    41%  100% 1.00   46%
  late       death                     blind        policy-pick             0%  0/0/60/0       3.0       12%     42%    39%  100% 1.00   47%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.0       32%     54%    45%  100% 1.00   39%
  late       death                     control-lock policy-pick             0%  0/0/60/0       3.0        9%     52%    48%  100% 1.00  100%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       3.1        9%     16%    41%  100% 1.00   41%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        1%     50%    42%  100% 1.00   77%
  late       death                     chaos        policy-pick             0%  0/0/60/0       3.0        7%     31%    52%  100% 1.00   32%
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.8        1%     20%    16%  100% 1.00   56%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       3.0       12%     36%    41%  100% 1.00   42%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       3.0       12%     39%    43%  100% 1.00   46%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.0       32%     53%    46%  100% 1.00   42%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.0        9%     52%    48%  100% 1.00  100%
