
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=sequencing-microset


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: sequencing-microset (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       fire-giant                greedy       policy-pick             0%  0/0/60/0       4.6       15%     31%    25%  100% 1.00   42%
  late       fire-giant                blind        policy-pick             0%  0/0/60/0       4.6       15%     29%    24%  100% 1.00   43%
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.0       30%     53%    47%  100% 0.98   23%
  late       fire-giant                control-lock policy-pick             0%  0/0/60/0       4.7       31%     43%    37%  100% 1.00   30%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       4.0       20%     27%    22%  100% 1.00   35%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        3%     43%    57%  100% 1.00   48%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       4.5        9%     35%    30%  100% 1.00   37%
  late       fire-giant                mercy-seeker policy-pick             2%  1/0/59/0       4.3        9%     36%    64%  100% 1.00   47%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       3.6       15%     18%    15%  100% 1.00   59%
  late       rangda                    blind        policy-pick             0%  0/0/60/0       3.6       15%     19%    16%  100% 1.00   58%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.0       31%     53%    47%  100% 0.98   28%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       3.6       29%     39%    32%  100% 1.00   33%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       3.0       18%     20%    17%  100% 1.00   34%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        3%     44%    56%  100% 1.00   37%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       3.3        8%     24%    21%  100% 1.00   50%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.2        9%     34%    66%  100% 1.00   44%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       3.5       15%     23%    19%  100% 1.00   51%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       3.5       15%     23%    19%  100% 1.00   51%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.0       30%     53%    47%  100% 0.98   32%
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       3.5       29%     43%    36%  100% 1.00   34%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       3.0       17%     27%    23%  100% 1.00   28%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        3%     47%    53%  100% 1.00   41%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       3.3        9%     28%    25%  100% 1.00   45%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.2        8%     41%    59%  100% 1.00   42%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       3.4       14%     34%    28%  100% 1.00   34%
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       3.4       14%     32%    26%  100% 1.00   36%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.0       30%     53%    47%  100% 0.98   27%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       3.1       28%     40%    35%  100% 1.00   29%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       3.0       18%     29%    24%  100% 1.00   34%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        3%     44%    56%  100% 1.00   39%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       3.1        8%     29%    24%  100% 1.00   46%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.1        8%     33%    67%  100% 1.00   50%
