
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        hasshaku-sama             chaos        policy-pick             0%  0/0/60/0       4.2       10%     54%    46%  100% 0.99   55%
  mid        hasshaku-sama             mercy-seeker policy-pick             0%  0/0/60/0       4.9        5%     51%    49%  100% 1.00   70%
  mid        jeweled-tree              greedy       policy-pick            12%  7/0/53/0       4.5       22%     55%    45%  100% 0.99   49%
  mid        jeweled-tree              blind        policy-pick            13%  7/1/52/0       4.6       22%     55%    45%  100% 0.99   50%
  mid        jeweled-tree              dot-weaver   policy-pick             2%  1/0/59/0       4.1       25%     53%    46%  100% 1.00   35%
  mid        jeweled-tree              control-lock policy-pick            62%  37/0/23/0      5.6       37%     48%    42%  100% 1.00   38%
  mid        jeweled-tree              aggro-brute  policy-pick             5%  3/0/57/0       4.0       14%     26%    61%  100% 1.00   36%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.0        3%     49%    51%  100% 1.00   70%
  mid        jeweled-tree              chaos        policy-pick             3%  2/0/58/0       4.3       11%     55%    45%  100% 1.00   51%
  mid        jeweled-tree              mercy-seeker policy-pick             3%  2/0/58/0       5.0        5%     50%    50%  100% 1.00   63%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.1       19%     56%    44%  100% 1.00   51%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.1       18%     56%    44%  100% 1.00   53%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     53%    46%  100% 1.00   38%
