
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --sandbox=conjure-exercise --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: conjure-exercise (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       rangda                    blind        policy-pick             0%  0/0/60/0       3.5       16%     51%    49%  100% 1.00   61%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     57%    43%  100% 1.00   48%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       3.9       25%     40%    33%  100% 1.00   37%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       3.0       14%     28%    24%  100% 1.00   34%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        2%     24%    22%  100% 0.98   51%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       3.5        8%     50%    50%  100% 1.00   47%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.5        8%     26%    22%  100% 0.97   42%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   57%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   56%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     56%    44%  100% 1.00   46%
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       4.0       25%     41%    35%  100% 1.00   43%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       3.1       14%     24%    21%  100% 1.00   30%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        2%     40%    33%  100% 0.98   69%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       3.4        7%     49%    51%  100% 1.00   57%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.5        9%     33%    27%  100% 0.97   50%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       3.3       16%     52%    48%  100% 1.00   64%
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       3.2       16%     52%    48%  100% 1.00   64%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.0       22%     56%    44%  100% 1.00   40%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       4.0       25%     39%    33%  100% 1.00   41%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     23%    20%  100% 1.00   36%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        2%     36%    30%  100% 0.98   69%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       3.3        7%     50%    50%  100% 1.00   59%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.5        8%     31%    25%  100% 0.97   49%
  late       death                     greedy       policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   56%
  late       death                     blind        policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   56%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     56%    44%  100% 1.00   46%
  late       death                     control-lock policy-pick             0%  0/0/60/0       4.0       25%     42%    35%  100% 1.00   42%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       3.1       14%     24%    21%  100% 1.00   30%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        2%     40%    33%  100% 0.98   69%
  late       death                     chaos        policy-pick             0%  0/0/60/0       3.3        7%     49%    51%  100% 1.00   58%
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.5        9%     33%    27%  100% 0.97   50%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   62%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   60%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     57%    43%  100% 1.00   48%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.9       25%     39%    33%  100% 1.00   36%
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       3.0       14%     27%    23%  100% 1.00   34%
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        2%     24%    22%  100% 0.98   51%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       3.3        7%     49%    51%  100% 1.00   51%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.5        8%     26%    22%  100% 0.97   42%
