
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=2 --cards --sandbox=chooseX-vein


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: chooseX-vein (1 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  early      king-of-revenge           greedy       policy-pick            33%  20/0/40/0      3.0       36%     56%    44%  100% 0.98   43%
  early      king-of-revenge           blind        policy-pick            33%  20/0/40/0      3.0       36%     56%    44%  100% 0.98   42%
  early      king-of-revenge           dot-weaver   policy-pick            82%  49/0/11/0      2.9       46%     55%    44%  100% 0.98   32%
  early      king-of-revenge           control-lock policy-pick            30%  16/2/42/0      4.5       32%     53%    43%  100% 0.98   76%
  early      king-of-revenge           aggro-brute  policy-pick            25%  15/0/45/0      3.0       34%     57%    43%  100% 0.98   47%
  early      king-of-revenge           turtle       policy-pick             0%  0/0/60/0       3.2        1%     54%    44%  100% 0.97   98%
  early      king-of-revenge           chaos        policy-pick            25%  15/0/45/0      3.0       26%     55%    45%  100% 0.98   38%
  early      king-of-revenge           mercy-seeker policy-pick             0%  0/0/60/0       3.6        2%     60%    40%  100% 0.97   67%
  mid        tri-eyes                  greedy       policy-pick            75%  26/19/15/0     5.6       24%     55%    45%  100% 0.98   52%
  mid        tri-eyes                  blind        policy-pick            75%  25/20/15/0     5.6       24%     55%    45%  100% 0.98   51%
  mid        tri-eyes                  dot-weaver   policy-pick            83%  50/0/10/0      4.8       35%     55%    45%  100% 0.99   26%
  mid        tri-eyes                  control-lock policy-pick            38%  12/11/37/0     7.0       22%     50%    43%  100% 1.00   53%
  mid        tri-eyes                  aggro-brute  policy-pick             2%  1/0/59/0       5.7       21%     22%    18%  100% 1.00   37%
  mid        tri-eyes                  turtle       policy-pick             0%  0/0/60/0       5.0        1%     51%    49%  100% 0.98   54%
  mid        tri-eyes                  chaos        policy-pick            25%  5/10/45/0      6.1       14%     56%    44%  100% 0.98   43%
