
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=roles-forge


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: roles-forge (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        hasshaku-sama             turtle       policy-pick             0%  0/0/60/0       4.0        1%     41%    42%  100% 1.00   60%
  mid        hasshaku-sama             chaos        policy-pick             2%  1/0/59/0       4.0       13%     54%    46%  100% 1.00   58%
  mid        hasshaku-sama             mercy-seeker policy-pick             0%  0/0/60/0       5.0        2%     31%    54%  100% 1.00   42%
  mid        jeweled-tree              greedy       policy-pick             7%  4/0/56/0       4.0       27%     53%    47%  100% 1.00   55%
  mid        jeweled-tree              blind        policy-pick             7%  4/0/56/0       4.0       27%     53%    47%  100% 1.00   56%
  mid        jeweled-tree              dot-weaver   policy-pick             0%  0/0/60/0       4.0       23%     53%    47%  100% 1.00   36%
  mid        jeweled-tree              control-lock policy-pick            65%  32/7/21/0      5.5       39%     51%    42%  100% 0.99   36%
  mid        jeweled-tree              aggro-brute  policy-pick             0%  0/0/60/0       4.0       14%     43%    35%  100% 1.00   55%
  mid        jeweled-tree              turtle       policy-pick             0%  0/0/60/0       4.0        1%     40%    44%  100% 1.00   58%
  mid        jeweled-tree              chaos        policy-pick             0%  0/0/60/0       4.0       13%     53%    47%  100% 1.00   57%
  mid        jeweled-tree              mercy-seeker policy-pick             0%  0/0/60/0       5.2        2%     31%    54%  100% 1.00   43%
  mid        rawhead-rex               greedy       policy-pick             0%  0/0/60/0       3.0       25%     54%    46%  100% 1.00   55%
  mid        rawhead-rex               blind        policy-pick             0%  0/0/60/0       3.0       24%     54%    46%  100% 1.00   55%
  mid        rawhead-rex               dot-weaver   policy-pick             0%  0/0/60/0       3.0       22%     53%    47%  100% 1.00   42%
  mid        rawhead-rex               control-lock policy-pick             3%  1/1/58/0       3.8       37%     50%    43%  100% 1.00   38%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     40%    34%  100% 1.00   58%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.0        1%     41%    42%  100% 1.00   79%
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.0       11%     55%    45%  100% 1.00   48%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       3.5        2%     25%    55%  100% 1.00   38%
  late       fire-giant                greedy       policy-pick             0%  0/0/60/0       4.5       17%     52%    48%  100% 0.99   63%
  late       fire-giant                blind        policy-pick             0%  0/0/60/0       4.5       17%     52%    47%  100% 0.99   62%
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.0       24%     56%    44%  100% 1.00   44%
  late       fire-giant                control-lock policy-pick             7%  3/1/56/0       5.9       27%     45%    37%  100% 1.00   49%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       4.2       16%     24%    20%  100% 1.00   39%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        2%     55%    39%  100% 1.00   92%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       4.3        8%     51%    49%  100% 1.00   51%
  late       fire-giant                mercy-seeker policy-pick             0%  0/0/60/0       4.7        8%     46%    35%  100% 1.00   60%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       3.5       16%     51%    49%  100% 1.00   62%
  late       rangda                    blind        policy-pick             0%  0/0/60/0       3.5       16%     51%    49%  100% 1.00   61%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     57%    43%  100% 1.00   48%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       3.9       25%     40%    33%  100% 1.00   37%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       3.0       14%     35%    30%  100% 1.00   42%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        2%     27%    20%  100% 1.00   57%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       3.5        8%     50%    50%  100% 1.00   47%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.5        8%     27%    21%  100% 1.00   45%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   57%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   56%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     56%    44%  100% 1.00   46%
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       4.0       25%     41%    35%  100% 1.00   43%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       3.1       14%     29%    25%  100% 1.00   34%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        2%     42%    31%  100% 1.00   81%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       3.4        7%     49%    51%  100% 1.00   57%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.5        9%     34%    26%  100% 1.00   53%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       3.3       16%     52%    48%  100% 1.00   64%
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       3.2       16%     52%    48%  100% 1.00   64%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.0       22%     56%    44%  100% 1.00   40%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       4.0       25%     39%    33%  100% 1.00   41%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     31%    27%  100% 1.00   36%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        2%     37%    27%  100% 1.00   73%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       3.3        7%     50%    50%  100% 1.00   59%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.5        8%     30%    23%  100% 1.00   51%
  late       death                     greedy       policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   56%
  late       death                     blind        policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   56%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     56%    44%  100% 1.00   46%
  late       death                     control-lock policy-pick             0%  0/0/60/0       4.0       25%     42%    35%  100% 1.00   42%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       3.1       14%     29%    25%  100% 1.00   34%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        2%     42%    31%  100% 1.00   81%
  late       death                     chaos        policy-pick             0%  0/0/60/0       3.3        7%     49%    51%  100% 1.00   58%
  late       death                     mercy-seeker policy-pick             0%  0/0/60/0       3.5        9%     34%    26%  100% 1.00   53%
  late       the-abortive              greedy       policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   62%
  late       the-abortive              blind        policy-pick             0%  0/0/60/0       3.4       16%     51%    49%  100% 1.00   60%
  late       the-abortive              dot-weaver   policy-pick             0%  0/0/60/0       3.0       23%     57%    43%  100% 1.00   48%
  late       the-abortive              control-lock policy-pick             0%  0/0/60/0       3.9       25%     39%    33%  100% 1.00   36%
  late       the-abortive              aggro-brute  policy-pick             0%  0/0/60/0       3.0       14%     35%    30%  100% 1.00   42%
  late       the-abortive              turtle       policy-pick             0%  0/0/60/0       3.0        2%     27%    20%  100% 1.00   57%
  late       the-abortive              chaos        policy-pick             0%  0/0/60/0       3.3        7%     49%    51%  100% 1.00   51%
  late       the-abortive              mercy-seeker policy-pick             0%  0/0/60/0       3.5        8%     27%    21%  100% 1.00   45%
  impossible the-incompleteness        greedy       policy-pick             0%  0/0/60/0       5.0       17%     52%    48%  100% 0.99   52%
  impossible the-incompleteness        blind        policy-pick             0%  0/0/60/0       5.0       17%     52%    48%  100% 0.99   52%
  impossible the-incompleteness        dot-weaver   policy-pick             0%  0/0/60/0       5.0       25%     56%    44%  100% 0.99   44%
  impossible the-incompleteness        control-lock policy-pick             8%  5/0/55/0       7.1       27%     41%    33%  100% 0.99   40%
  impossible the-incompleteness        aggro-brute  policy-pick             0%  0/0/60/0       5.0       16%     25%    22%  100% 0.99   29%
  impossible the-incompleteness        turtle       policy-pick             0%  0/0/60/0       5.0        2%     55%    37%  100% 1.00   85%
  impossible the-incompleteness        chaos        policy-pick             0%  0/0/60/0       5.0        9%     51%    49%  100% 0.99   46%
  impossible the-incompleteness        mercy-seeker policy-pick             0%  0/0/60/0       5.2        8%     38%    31%  100% 1.00   52%

Win-path mix (per cell — victory/mercy/capitulate/concede/defeat):
  early      grave-larva               greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               control-lock policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      grave-larva               aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               turtle       policy-pick           vic= 54 mer=  0 cap=  1 con=  0 def=  5
  early      grave-larva               chaos        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      grave-larva               mercy-seeker policy-pick           vic= 57 mer=  0 cap=  3 con=  0 def=  0
  early      foot-stealer              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              control-lock policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      foot-stealer              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      foot-stealer              turtle       policy-pick           vic= 49 mer=  0 cap=  1 con=  0 def= 10
  early      foot-stealer              chaos        policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      foot-stealer              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              control-lock policy-pick           vic= 58 mer=  0 cap=  0 con=  0 def=  2
  early      little-belle              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      little-belle              turtle       policy-pick           vic= 54 mer=  0 cap=  1 con=  0 def=  5
  early      little-belle              chaos        policy-pick           vic= 59 mer=  0 cap=  0 con=  0 def=  1
  early      little-belle              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              greedy       policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              blind        policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              dot-weaver   policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              control-lock policy-pick           vic= 56 mer=  0 cap=  1 con=  0 def=  3
  early      water-holger              aggro-brute  policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      water-holger              turtle       policy-pick           vic= 52 mer=  0 cap=  1 con=  0 def=  7
  early      water-holger              chaos        policy-pick           vic= 58 mer=  0 cap=  0 con=  0 def=  2
  early      water-holger              mercy-seeker policy-pick           vic= 60 mer=  0 cap=  0 con=  0 def=  0
  early      the-butcher               greedy       policy-pick           vic= 56 mer=  0 cap=  0 con=  0 def=  4
  early      the-butcher               blind        policy-pick           vic= 56 mer=  0 cap=  0 con=  0 def=  4
