
Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=2
Sandbox set applied: bridge-rewards (6 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        rawhead-rex               control-lock policy-pick             0%  0/0/60/0       3.0       28%     52%    46%  100% 1.00   56%
  mid        rawhead-rex               aggro-brute  policy-pick             0%  0/0/60/0       3.0       13%     40%    28%  100% 1.00   40%
  mid        rawhead-rex               turtle       policy-pick             0%  0/0/60/0       3.0        1%     33%    65%  100% 1.00   61%
  mid        rawhead-rex               chaos        policy-pick             0%  0/0/60/0       3.0        1%     55%    45%  100% 1.00   95%
  mid        rawhead-rex               mercy-seeker policy-pick             0%  0/0/60/0       3.9        9%     19%    62%  100% 1.00   49%
  late       fire-giant                greedy       policy-pick             0%  0/0/60/0       4.8       12%     33%    27%  100% 1.00   42%
  late       fire-giant                blind        policy-pick             0%  0/0/60/0       4.8       12%     32%    26%  100% 1.00   43%
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.7       41%     53%    44%  100% 0.98   25%
  late       fire-giant                control-lock policy-pick             2%  1/0/59/0       6.4       23%     41%    41%  100% 1.00   31%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       4.0       20%     27%    22%  100% 1.00   35%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        2%     49%    51%  100% 1.00   76%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       4.4        6%     41%    35%  100% 1.00   47%
  late       fire-giant                mercy-seeker policy-pick             0%  0/0/60/0       4.8       15%     25%    59%  100% 1.00   42%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       3.7       11%     19%    16%  100% 1.00   66%
  late       rangda                    blind        policy-pick             0%  0/0/60/0       3.7       12%     20%    17%  100% 1.00   64%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.4       41%     52%    44%  100% 0.98   26%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       3.8       23%     42%    44%  100% 1.00   36%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       3.0       18%     20%    17%  100% 1.00   34%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        3%     45%    53%  100% 1.00   77%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       3.4        5%     36%    32%  100% 1.00   38%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.4       14%     13%    44%  100% 1.00   42%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       3.6       11%     25%    21%  100% 1.00   54%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       3.6       11%     25%    21%  100% 1.00   53%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.3       40%     52%    44%  100% 0.98   22%
  late       tezcatlipoca              control-lock policy-pick             0%  0/0/60/0       3.8       23%     38%    43%  100% 1.00   31%
  late       tezcatlipoca              aggro-brute  policy-pick             0%  0/0/60/0       3.0       17%     27%    23%  100% 1.00   28%
  late       tezcatlipoca              turtle       policy-pick             0%  0/0/60/0       3.0        2%     47%    53%  100% 1.00   79%
  late       tezcatlipoca              chaos        policy-pick             0%  0/0/60/0       3.3        5%     41%    36%  100% 1.00   42%
  late       tezcatlipoca              mercy-seeker policy-pick             0%  0/0/60/0       3.6       15%     20%    57%  100% 1.00   39%
  late       arch-demon                greedy       policy-pick             0%  0/0/60/0       3.4       11%     35%    28%  100% 1.00   37%
  late       arch-demon                blind        policy-pick             0%  0/0/60/0       3.4       11%     34%    27%  100% 1.00   39%
  late       arch-demon                dot-weaver   policy-pick             0%  0/0/60/0       3.3       40%     52%    44%  100% 0.98   23%
  late       arch-demon                control-lock policy-pick             0%  0/0/60/0       3.6       23%     38%    42%  100% 1.00   30%
  late       arch-demon                aggro-brute  policy-pick             0%  0/0/60/0       3.0       18%     29%    24%  100% 1.00   34%
  late       arch-demon                turtle       policy-pick             0%  0/0/60/0       3.0        3%     45%    53%  100% 1.00   77%
  late       arch-demon                chaos        policy-pick             0%  0/0/60/0       3.1        5%     35%    29%  100% 1.00   45%
  late       arch-demon                mercy-seeker policy-pick             0%  0/0/60/0       3.4       15%     16%    57%  100% 1.00   41%
  late       death                     greedy       policy-pick             0%  0/0/60/0       3.5       11%     25%    21%  100% 1.00   54%
  late       death                     blind        policy-pick             0%  0/0/60/0       3.5       11%     26%    22%  100% 1.00   53%
  late       death                     dot-weaver   policy-pick             0%  0/0/60/0       3.3       40%     52%    44%  100% 0.98   22%
  late       death                     control-lock policy-pick             0%  0/0/60/0       3.8       23%     38%    43%  100% 1.00   31%
  late       death                     aggro-brute  policy-pick             0%  0/0/60/0       3.0       17%     27%    23%  100% 1.00   28%
  late       death                     turtle       policy-pick             0%  0/0/60/0       3.0        2%     47%    53%  100% 1.00   79%
  late       death                     chaos        policy-pick             0%  0/0/60/0       3.3        5%     40%    35%  100% 1.00   42%
