
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --cards --sandbox=free-line-conversions


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: free-line-conversions (0 cards, 8 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  late       fire-giant                dot-weaver   policy-pick             0%  0/0/60/0       4.2       20%     54%    45%  100% 1.00   33%
  late       fire-giant                control-lock policy-pick             2%  1/0/59/0       5.7       33%     45%    52%  100% 1.00   45%
  late       fire-giant                aggro-brute  policy-pick             0%  0/0/60/0       5.9       15%     24%    19%  100% 1.00   37%
  late       fire-giant                turtle       policy-pick             0%  0/0/60/0       4.0        2%     21%    57%  100% 1.00   33%
  late       fire-giant                chaos        policy-pick             0%  0/0/60/0       4.0        4%     55%    45%  100% 1.00   39%
  late       fire-giant                mercy-seeker policy-pick             0%  0/0/60/0       4.8        5%     17%    60%  100% 1.00   35%
  late       rangda                    greedy       policy-pick             0%  0/0/60/0       3.0       12%     58%    42%  100% 1.00   36%
  late       rangda                    blind        policy-pick             0%  0/0/60/0       3.0       12%     58%    42%  100% 1.00   36%
  late       rangda                    dot-weaver   policy-pick             0%  0/0/60/0       3.3       20%     52%    45%  100% 1.00   28%
  late       rangda                    control-lock policy-pick             0%  0/0/60/0       4.0       30%     44%    52%  100% 1.00   47%
  late       rangda                    aggro-brute  policy-pick             0%  0/0/60/0       4.0       15%     25%    22%  100% 1.00   34%
  late       rangda                    turtle       policy-pick             0%  0/0/60/0       3.0        2%     22%    58%  100% 1.00   30%
  late       rangda                    chaos        policy-pick             0%  0/0/60/0       3.0        3%     53%    47%  100% 1.00   37%
  late       rangda                    mercy-seeker policy-pick             0%  0/0/60/0       3.6        4%     13%    66%  100% 1.00   30%
  late       tezcatlipoca              greedy       policy-pick             0%  0/0/60/0       3.0       12%     58%    42%  100% 1.00   42%
  late       tezcatlipoca              blind        policy-pick             0%  0/0/60/0       3.0       12%     59%    41%  100% 1.00   41%
  late       tezcatlipoca              dot-weaver   policy-pick             0%  0/0/60/0       3.2       20%     52%    45%  100% 1.00   28%
